Date, Open, High, Low, Close
03/19/18, 3688.04, 3688.04, 3688.04, 3688.04
03/16/18, 3732.82, 3732.82, 3732.82, 3732.82
03/15/18, 3732.58, 3732.58, 3732.58, 3732.58
03/14/18, 3731.32, 3731.32, 3731.32, 3731.32
03/13/18, 3744.67, 3744.67, 3744.67, 3744.67
03/12/18, 3758.85, 3758.85, 3758.85, 3758.85
03/09/18, 3746.31, 3746.31, 3746.31, 3746.31
03/08/18, 3701.73, 3701.73, 3701.73, 3701.73
03/07/18, 3679.13, 3679.13, 3679.13, 3679.13
03/06/18, 3677.92, 3677.92, 3677.92, 3677.92
03/05/18, 3654.98, 3654.98, 3654.98, 3654.98
03/02/18, 3630.90, 3630.90, 3630.90, 3630.90
03/01/18, 3625.11, 3625.11, 3625.11, 3625.11
02/28/18, 3671.34, 3671.34, 3671.34, 3671.34
02/27/18, 3709.88, 3709.88, 3709.88, 3709.88
02/26/18, 3744.05, 3744.05, 3744.05, 3744.05
02/23/18, 3712.03, 3712.03, 3712.03, 3712.03
02/22/18, 3668.77, 3668.77, 3668.77, 3668.77
02/21/18, 3669.10, 3669.10, 3669.10, 3669.10
02/20/18, 3676.72, 3676.72, 3676.72, 3676.72
02/19/18, 3691.78, 3691.78, 3691.78, 3691.78
02/16/18, 3695.26, 3695.26, 3695.26, 3695.26
02/15/18, 3688.87, 3688.87, 3688.87, 3688.87
02/14/18, 3640.66, 3640.66, 3640.66, 3640.66
02/13/18, 3593.16, 3593.16, 3593.16, 3593.16
02/12/18, 3583.30, 3583.30, 3583.30, 3583.30
02/09/18, 3539.44, 3539.44, 3539.44, 3539.44
02/08/18, 3527.93, 3527.93, 3527.93, 3527.93
02/07/18, 3619.08, 3619.08, 3619.08, 3619.08
02/06/18, 3625.72, 3625.72, 3625.72, 3625.72
02/05/18, 3632.33, 3632.33, 3632.33, 3632.33
02/02/18, 3748.01, 3748.01, 3748.01, 3748.01
02/01/18, 3827.38, 3827.38, 3827.38, 3827.38
